工单号,报修时间,报修科室,报修内容,实际班组,分派班组,到场耗时分钟
RX-20260301-0012,2026-03-01 08:14,骨科三病区,3床呼叫器不响了,医疗设备,医疗设备,18
RX-20260301-0027,2026-03-01 09:41,手术室,二号间氧气压力表指针不动,医用气体,电气,46
RX-20260301-0033,2026-03-01 10:02,行政楼,坏了,电气,电气,120
RX-20260302-0008,2026-03-02 07:55,ICU,中心供氧报警一直响,医用气体,医用气体,9
RX-20260302-0019,2026-03-02 11:30,消毒供应中心,水龙头一直滴水关不上,给排水,给排水,55
RX-20260303-0004,2026-03-03 08:20,产科,暖气不热,给排水,电气,88
RX-20260303-0021,2026-03-03 14:12,检验科,离心机转起来有响声,医疗设备,医疗设备,32
RX-20260304-0011,2026-03-04 09:03,住院部六楼,走廊灯闪,电气,电气,41
RX-20260304-0016,2026-03-04 10:47,手术室,负压吸引不好使,医用气体,医疗设备,52
RX-20260305-0002,2026-03-05 07:40,急诊,除颤仪充不上电,医疗设备,医疗设备,12
