工单编号,设备编号,故障描述,故障代码,紧急程度,创建时间,响应时间,完成时间,维修人,备注
GX-2026-0001,SB-114,数控机床3号报警灯亮,12-电气故障,紧急,2026-01-05 08:12,2026-01-05 08:40,2026-01-05 09:55,李明,
GX-2026-0002,SB-089,传送带异响,99-其他,一般,05/01/2026 09:00,,2026-01-05 12:10,,响应人未记录
GX-2026-0003,SB-201,新型注塑机温控报警,99-其他,紧急,20260106 10:22,2026-01-06 10:50,2026-01-06 11:30,王强,设备型号2024年新采购,字典无对应分类
GX-2026-0004,SB-045,液压系统压力异常,08-机械故障,一般,2026-1-7 14:00,2026-01-07 15:20,2026-01-07 16:00,李明,
GX-2026-0005,SB-201,同型号注塑机再次报警,99-其他,一般,2026-01-08 09:15,2026-01-08 11:40,2026-01-08 10:05,王强,完成时间早于响应时间-疑似录入错误
GX-2026-0006,SB-333,机器人焊接臂停机,99-其他,紧急,2026-01-09 07:50,,,,响应时间与完成时间均缺失-推测为电话直接处理未走系统
GX-2026-0007,SB-114,数控机床3号再次报警,12-电气故障,紧急,2026-01-10 08:03,2026-01-10 08:12,2026-01-10 09:00,李明,
GX-2026-0008,SB-450,AGV小车定位失败,99-其他,一般,09/01/2026 13:40,2026-01-09 14:00,2026-01-09 15:30,,设备型号2025年新采购,字典无对应分类
GX-2026-0009,SB-089,传送带再次异响,05-传动故障,一般,2026-01-11 10:00,2026-01-11 10:30,2026-01-10 16:00,李明,完成时间早于创建时间-数据库迁移遗留问题
GX-2026-0010,SB-501,产线PLC通讯中断,99-其他,紧急,2026-01-12 03:20,2026-01-12 04:10,2026-01-12 05:45,王强,夜班-无班长确认记录
GX-2026-0011,SB-045,液压系统压力异常复发,08-机械故障,,2026-01-13 11:00,2026-01-13 11:45,2026-01-13 12:30,李明,紧急程度字段留空
GX-2026-0012,SB-620,新型激光切割机报警,99-其他,紧急,13/01/2026 14:20,,2026-01-13 16:00,张伟,设备型号2024年新采购,字典无对应分类;响应时间缺失
GX-2026-0013,SB-201,注塑机第三次报警,99-其他,紧急,2026-01-14 08:00,2026-01-14 08:05,2026-01-14 08:50,王强,同一设备一个月内第3次报99-其他
GX-2026-0014,SB-333,焊接臂再次停机,99-其他,一般,2026-01-15 09:30,2026-01-15 12:00,2026-01-15 11:00,,完成时间早于响应时间;维修人缺失
GX-2026-0015,SB-089,传送带皮带断裂,05-传动故障,紧急,2026-01-16 07:10,2026-01-16 07:20,2026-01-16 08:00,李明,
GX-2026-0016,SB-701,新型AGV充电桩故障,99-其他,一般,2026-01-17 10:40,2026-01-17 13:00,2026-01-17 14:20,张伟,设备型号2025年新采购,字典无对应分类
GX-2026-0017,SB-114,数控机床3号第三次报警,99-其他,紧急,2026-01-18 08:00,2026-01-18 08:10,2026-01-18 08:40,李明,同一设备三次故障两次归为其他-字典分类明显不匹配
GX-2026-0018,SB-450,AGV小车再次定位失败,99-其他,一般,18/01/2026 15:00,,,王强,响应时间与完成时间均缺失
